[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,MEDIDAS MVSH - GRUPO AL/SI
FILEOPENTIME,25993437.09,11/21/2025,11:53 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC271,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 D1,VSM_HW_VERSION
INFO,250,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,259,PREAMP_SERIAL_NUMBER
INFO,320,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Aluminio puro,SAMPLE_MATERIAL
INFO,Pelicula delgada de Al/Si,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,5.74mm x 2.80mm,SAMPLE_SIZE
INFO,Rectangular,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,25993553.755,299.96177675,8497.23,-7.00732967437881E-6,7.63794174066486E-7,1,0.999253354069792,40.0298881530762,2.00107662019125,6.63999980315566,-7.28726483491236E-5,-2.36880475295783E-5,0.25,-9.93277840336361E-7,-7.00647481711611E-6,-9.97887512820522E-7,299.9614868,299.9620667,8467.689,8526.771,54.2606518050057,19.127031293123,30.33712,0,0,0,40,4961,300.5441,8497.23,,,,,,,,,,,,,0,,,,21.5091171,,,,,,299.96177675,,,,
,25993555.005,299.9621735,8424.509,-6.54020703148292E-6,7.4686250410052E-7,1,0.999253354069792,40.0298881530762,2.0008860113697,6.63999980315566,-6.86779984479993E-5,-1.82871940795468E-5,0.25,-5.68853263737655E-7,-6.539646148166E-6,-5.73165643875795E-7,299.9620667,299.9622803,8381.329,8467.689,52.2440502253901,19.1149566410133,30.33712,0,0,0,40,4961,300.5524,8424.509,,,,,,,,,,,,,0,,,,21.4016914,,,,,,299.9621735,,,,
,25993556.17,299.9618378,8358.28,-6.1447324154396E-6,7.35128336524739E-7,1,0.999253354069792,40.0298881530762,2.00076485807327,6.63999980315566,-6.40536279882295E-5,-1.98499773394565E-5,0.25,-7.84818542824231E-7,-6.1440398546067E-6,-7.88863024634944E-7,299.9613953,299.9622803,8335.231,8381.329,54.024599992198,19.1321474701423,30.33712,0,0,0,40,4961,300.56075,8358.28,,,,,,,,,,,,,0,,,,21.5091171,,,,,,299.9618378,,,,
,25993557.28,299.9616089,8299.011,-6.83794167001944E-6,6.4632998325848E-7,1,0.999253354069792,40.0298881530762,2.0011893177181,6.63000019267201,-7.13290792739013E-5,-2.18945720258646E-5,0.25,-8.54676790474247E-7,-6.83718341303363E-6,-8.59178035082714E-7,299.9613953,299.9618225,8262.791,8335.231,54.5748664697366,19.1132058959163,30.708435,0,0,0,40,4961,300.56575,8299.011,,,,,,,,,,,,,0,,,,21.6165428,,,,,,299.9616089,,,,
,25993559.335,299.96313475,8172.288,-5.25822758306289E-6,5.47627255742677E-7,1,0.999253354069792,40.0298881530762,2.00103632494461,6.63999980315566,-5.3886884436201E-5,-2.231128577733E-5,0.25,-1.17072854315313E-6,-5.25730434019953E-6,-1.17417539143029E-6,299.9624023,299.9638672,8167.397,8177.179,52.6184502861017,19.1220683495454,30.708435,0,0,0,40,4961,300.5691,8172.288,,,,,,,,,,,,,0,,,,21.61764145,,,,,,299.96313475,,,,
,25993560.07,299.9625244,8132.966,-6.07361943862203E-6,5.44519722253724E-7,1,0.999253354069792,40.0298881530762,2.00111199991854,6.63999980315566,-6.35941949695735E-5,-1.80748275735201E-5,0.25,-6.30519134229608E-7,-6.0730307977607E-6,-6.34521059441952E-7,299.9624023,299.9626465,8098.535,8167.397,54.5389115578519,19.1183043157633,31.079807,0,0,0,40,4961,300.5591,8132.966,,,,,,,,,,,,,0,,,,21.5091171,,,,,,299.9625244,,,,
,25993561.195,299.96328735,8067.583,-6.09158376310986E-6,5.82077374305481E-7,1,0.999253354069792,40.0298881530762,2.00114423869892,6.63999980315566,-6.33031436865215E-5,-2.08684162253664E-5,0.25,-8.89291609360189E-7,-6.09082318194959E-6,-8.93298034754383E-7,299.9626465,299.9639282,8036.631,8098.535,54.0113123073711,19.107875420899,30.33712,0,0,0,40,4961,300.5658,8067.583,,,,,,,,,,,,,0,,,,21.72506715,,,,,,299.96328735,,,,
,25993563.115,299.9655151,7958.924,-6.0609107863504E-6,6.6688631946476E-7,1,0.999253354069792,40.0298881530762,2.00111685671562,6.63999980315566,-6.31483163579504E-5,-1.98229138131392E-5,0.25,-7.96657654441514E-7,-6.06021188491524E-6,-8.00646135576816E-7,299.9655151,299.9655151,7952.903,7964.945,54.227823407198,19.1223942071027,30.708435,0,0,0,40,4961,300.5825,7958.924,,,,,,,,,,,,,0,,,,21.6165428,,,,,,299.9655151,,,,
,25993563.81,299.96453855,7920.2585,-5.71879964914808E-6,8.09733596898538E-7,1,0.999253354069792,40.0298881530762,2.0009805988963,6.63000019267201,-5.84811008098648E-5,-2.49737444877641E-5,0.25,-1.33974470577521E-6,-5.71775121852081E-6,-1.34349154723704E-6,299.963562,299.9655151,7887.614,7952.903,53.6799018152172,19.1171320619197,30.708435,0,0,0,40,4961,300.57745,7920.2585,,,,,,,,,,,,,0,,,,21.5091171,,,,,,299.96453855,,,,
,25993565.04,299.96487425,7850.9225,-5.11320689777267E-6,6.12444013769351E-7,1,0.999253354069792,40.0298881530762,2.00124675957233,6.63999980315566,-5.46131389462718E-5,-9.10273135747165E-6,0.25,4.25342204955529E-8,-5.11309032365652E-6,3.91489548619301E-8,299.963562,299.9661865,7814.231,7887.614,53.2992487263518,19.1176279565463,30.708435,0,0,0,40,4961,300.5724,7850.9225,,,,,,,,,,,,,0,,,,21.5091171,,,,,,299.96487425,,,,
